bits,  st_st0,  st_st0_n,  st_st1,  st_st2,  st_st3,  st_st3_n, 
 33,  1997335392,  790376861,  7147852660,  611307627,  1913098061,  927869238, 
 33, 0b01110111000011001110101101100000, 0b00101111000111000011000110011101, 0b10101010000010111001001101110100, 0b00100100011011111101000001101011, 0b01110010000001111000111101001101, 0b00110111010011100010100100110110, 
 32,  144243964,  4053273053,  1478675437,  2732245932,  4172906954,  4254734860, 
 32, 0b00001000100110001111110011111100, 0b11110001100110000000100111011101, 0b01011000001000101100101111101101, 0b10100010110110101100001110101100, 0b11111000101110011000000111001010, 0b11111101100110100001101000001100, 
 31,  231354826,  262721048,  1407365141,  1526779662,  611681054,  1451500278, 
 31, 0b0001101110010100011000111001010, 0b0001111101010001100111000011000, 0b1010011111000101011000000010101, 0b1011011000000001100111100001110, 0b0100100011101011000001100011110, 0b1010110100001000010001011110110, 
 30,  78825624,  80361089,  955383875,  115446592,  486541257,  101360723, 
 30, 0b000100101100101100100010011000, 0b000100110010100011011010000001, 0b111000111100100000000001000011, 0b000110111000011001001101000000, 0b011101000000000000011111001001, 0b000110000010101010010001010011, 
 29,  309852010,  67039014,  309624759,  526991251,  525553593,  510033904, 
 29, 0b10010011101111111011101101010, 0b00011111111101110111100100110, 0b10010011101000111111110110111, 0b11111011010010011111110010011, 0b11111010100110100111110111001, 0b11110011001100111111111110000, 
 28,  188950453,  16254973,  248678339,  115324164,  198769410,  184332489, 
 28, 0b1011010000110010011110110101, 0b0000111110000000011111111101, 0b1110110100101000011111000011, 0b0110110111111011010100000100, 0b1011110110001111101100000010, 0b1010111111001011000011001001, 
 27,  8703995,  133500210,  117896628,  79285429,  133742336,  8320142, 
 27, 0b000100001001100111111111011, 0b111111101010000110100110010, 0b111000001101111010110110100, 0b100101110011100110010110101, 0b111111110001011111100000000, 0b000011111101111010010001110, 
 26,  41725200,  60052999,  4409815,  32556644,  39942219,  1023621, 
 26, 0b10011111001010110100010000, 0b11100101000101011000000111, 0b00010000110100100111010111, 0b01111100001100011001100100, 0b10011000010111100001001011, 0b00000011111001111010000101, 
 25,  23293994,  7832272,  815319,  2202584,  18326676,  13161649, 
 25, 0b1011000110111000000101010, 0b0011101111000001011010000, 0b0000011000111000011010111, 0b0001000011001101111011000, 0b1000101111010010010010100, 0b0110010001101010010110001, 
 24,  7156280,  15790528,  2605831,  6555899,  9496289,  10180627, 
 24, 0b011011010011001000111000, 0b111100001111000111000000, 0b001001111100001100000111, 0b011001000000100011111011, 0b100100001110011011100001, 0b100110110101100000010011, 
 23,  2163727,  1656849,  4197253,  542033,  3200008,  7602258, 
 23, 0b01000010000010000001111, 0b00110010100100000010001, 0b10000000000101110000101, 0b00010000100010101010001, 0b01100001101010000001000, 0b11101000000000001010010, 
 22,  2192301,  3190641,  4179209,  576751,  2574305,  2817584, 
 22, 0b1000010111001110101101, 0b1100001010111101110001, 0b1111111100010100001001, 0b0010001100110011101111, 0b1001110100011111100001, 0b1010101111111000110000, 
 21,  45912,  264287,  251924,  1958912,  1312226,  431619, 
 21, 0b000001011001101011000, 0b001000000100001011111, 0b000111101100000010100, 0b111011110010000000000, 0b101000000010111100010, 0b001101001011000000011, 
 20,  473310,  32754,  509894,  990795,  749334,  1030260, 
 20, 0b01110011100011011110, 0b00000111111111110010, 0b01111100011111000110, 0b11110001111001001011, 0b10110110111100010110, 0b11111011100001110100, 
 19,  199423,  384675,  54751,  273151,  466787,  452406, 
 19, 0b0110000101011111111, 0b1011101111010100011, 0b0001101010111011111, 0b1000010101011111111, 0b1110001111101100011, 0b1101110011100110110, 
 18,  245261,  203486,  142191,  64621,  105715,  212188, 
 18, 0b111011111000001101, 0b110001101011011110, 0b100010101101101111, 0b001111110001101101, 0b011001110011110011, 0b110011110011011100, 
 17,  130868,  29631,  130191,  97910,  20415,  114331, 
 17, 0b11111111100110100, 0b00111001110111111, 0b11111110010001111, 0b10111111001110110, 0b00100111110111111, 0b11011111010011011, 
 16,  62716,  32589,  55711,  57187,  21759,  15311, 
 16, 0b1111010011111100, 0b0111111101001101, 0b1101100110011111, 0b1101111101100011, 0b0101010011111111, 0b0011101111001111, 
 15,  32719,  32479,  16351,  8191,  15359,  16367, 
 15, 0b111111111001111, 0b111111011011111, 0b011111111011111, 0b001111111111111, 0b011101111111111, 0b011111111101111, 
 14,  3899,  15856,  14735,  14060,  16139,  1975, 
 14, 0b00111100111011, 0b11110111110000, 0b11100110001111, 0b11011011101100, 0b11111100001011, 0b00011110110111, 
 13,  8186,  2047,  8125,  7807,  3071,  6142, 
 13, 0b1111111111010, 0b0011111111111, 0b1111110111101, 0b1111001111111, 0b0101111111111, 0b1011111111110, 
 12,  1023,  4047,  3903,  1535,  3935,  4085, 
 12, 0b001111111111, 0b111111001111, 0b111100111111, 0b010111111111, 0b111101011111, 0b111111110101, 
 11,  195,  1037,  1632,  204,  1185,  402, 
 11, 0b00011000011, 0b10000001101, 0b11001100000, 0b00011001100, 0b10010100001, 0b00110010010, 
 10,  117,  665,  346,  902,  155,  118, 
 10, 0b0001110101, 0b1010011001, 0b0101011010, 0b1110000110, 0b0010011011, 0b0001110110, 
 9,  509,  383,  447,  495,  507,  479, 
 9, 0b111111101, 0b101111111, 0b110111111, 0b111101111, 0b111111011, 0b111011111, 
 8,  125,  252,  126,  63,  189,  159, 
 8, 0b01111101, 0b11111100, 0b01111110, 0b00111111, 0b10111101, 0b10011111, 
 7,  46,  29,  86,  60,  51,  105, 
 7, 0b0101110, 0b0011101, 0b1010110, 0b0111100, 0b0110011, 0b1101001, 
 6,  51,  30,  45,  54,  15,  57, 
 6, 0b110011, 0b011110, 0b101101, 0b110110, 0b001111, 0b111001, 
 5,  7,  22,  21,  19,  25,  11, 
 5, 0b00111, 0b10110, 0b10101, 0b10011, 0b11001, 0b01011, 
 4,  12,  6,  5,  9,  3,  10, 
 4, 0b1100, 0b0110, 0b0101, 0b1001, 0b0011, 0b1010, 
